Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Recent immigrant (?10 years) ,Males,2.785,2.505,3.065,,2965,,36825,8.1,7.4,8.7,,11.3,10.2,12.3,,7.234,6.172,8.297,,64.09,60.474,67.706,,8.455,7.383,9.528,,0.387,0.337,0.436,,1902,1658,2146,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Long-term immigrant (>10 years),Males,0.603,0.476,0.731,,300,,6250,4.8,3.9,5.8,,2.4,1.9,3,,-1.608,-2.125,-1.092,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Non-permanent resident,Males,6.948,6.061,7.834,,1190,,4040,29.3,25.8,32.8,,28.2,24.7,31.6,,24.108,20.621,27.596,,85.607,83.758,87.455,,4.513,3.844,5.182,,0.206,0.175,0.238,,1015,859,1170,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Non-immigrant [reference],Males,1,,,,18035,,444460,4.1,3.9,4.2,,4.1,3.9,4.2,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Recent immigrant (?10 years) ,Females,2.748,2.465,3.031,,2885,,34290,8.4,7.7,9.1,,11.6,10.5,12.7,,7.393,6.287,8.499,,63.609,59.838,67.38,,8.348,7.233,9.464,,0.396,0.344,0.449,,1835,1591,2080,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Long-term immigrant (>10 years),Females,0.512,0.388,0.637,,270,,5700,4.7,3.7,5.6,,2.2,1.6,2.7,,-2.063,-2.593,-1.533,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Non-permanent resident,Females,6.374,5.544,7.204,,1090,,4095,26.7,23.5,30,,27,23.5,30.4,,22.73,19.307,26.153,,84.311,82.254,86.369,,4.199,3.573,4.825,,0.199,0.168,0.23,,923,780,1066,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status,Non-immigrant [reference],Females,1,,,,17735,,418985,4.2,4.1,4.4,,4.2,4.1,4.4,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Black",Both sexes,4.615,4.08,5.15,,1875,,15340,12.2,10.9,13.6,,14.7,13.2,16.3,,11.527,9.96,13.093,,78.331,75.783,80.878,,3.309,2.818,3.8,,0.154,0.132,0.177,,1471,1256,1686,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Both sexes,2.448,1.877,3.02,,900,,22150,4.1,3.4,4.7,,7.8,6,9.6,,4.618,2.826,6.41,,59.155,49.516,68.794,,1.197,0.84,1.555,,0.056,0.039,0.072,,533,374,691,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Both sexes,3.826,3.341,4.311,,2145,,20495,10.5,9.2,11.7,,12.2,10.8,13.6,,9.012,7.559,10.464,,73.864,70.469,77.26,,3.559,2.985,4.132,,0.166,0.139,0.193,,1583,1327,1838,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Both sexes,3.877,2.702,5.052,,390,,4410,8.8,6.8,10.8,,12.4,8.6,16.1,,9.174,5.423,12.924,,74.207,66.028,82.385,,0.648,0.449,0.846,,0.03,0.021,0.039,,288,200,377,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, White",Both sexes,2.81,2.044,3.575,,540,,8675,6.3,4.8,7.7,,9,6.5,11.4,,5.77,3.346,8.195,,64.408,54.484,74.331,,0.786,0.501,1.071,,0.037,0.023,0.05,,350,222,477,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, Black",Both sexes,1.064,0.718,1.41,,160,E,2145,7.6,5.2,10,,3.4,2.3,4.5,,0.204,-0.894,1.302,,6.008,-25.494,37.51,,0.022,-0.095,0.139,E,0.001,-0.004,0.006,E,10,-42,62,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, East/Southeast Asian",Both sexes,0.535,0.304,0.766,,105,E,2835,3.8,2.5,5.2,,1.7,1,2.4,,-1.484,-2.233,-0.735,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, Arab/South/West Asian",Both sexes,0.798,0.539,1.058,E,190,,4155,4.5,3.2,5.9,,2.5,1.7,3.4,E,-0.643,-1.465,0.179,E,,,,E,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, Latin American/Other/Multiple origins",Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, White",Both sexes,0.535,0.19,0.88,,80,E,1815,4.2,2,6.4,,1.7,0.6,2.8,,-1.483,-2.592,-0.373,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Both sexes,8.612,5.743,11.482,,235,E,880,27.4,19.2,35.6,,27.5,18.4,36.5,,24.273,15.188,33.359,,88.389,84.242,92.536,,0.477,0.295,0.658,E,0.022,0.014,0.031,E,212,132,292,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Both sexes,9.296,7.626,10.965,,780,,2415,32.2,26.8,37.6,,29.6,24.3,34.9,,26.452,21.174,31.73,,89.242,87.295,91.19,,1.562,1.273,1.851,,0.073,0.059,0.087,,695,560,829,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Arab/South/West Asian",Both sexes,7.972,6.452,9.492,,555,,2175,25.7,20.9,30.6,,25.4,20.6,30.2,,22.231,17.463,26.999,,87.456,85.121,89.791,,1.099,0.839,1.358,,0.051,0.039,0.063,,489,371,606,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Both sexes,8.713,6.452,10.975,,370,,1345,27.5,20.5,34.4,,27.8,20.8,34.7,,24.595,17.619,31.572,,88.523,85.48,91.567,,0.735,0.51,0.96,,0.034,0.024,0.045,,327,227,427,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, White",Both sexes,7.82,5.563,10.078,,310,,1275,24.4,17.6,31.3,,24.9,17.9,32,,21.748,14.716,28.779,,87.213,83.437,90.988,,0.613,0.405,0.822,,0.029,0.019,0.038,,273,181,365,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Black",Both sexes,2.059,1.835,2.284,,3395,,47950,7.1,6.5,7.7,,6.6,5.9,7.2,,3.378,2.727,4.03,,51.443,46.081,56.805,,3.922,3.181,4.663,,0.183,0.149,0.217,,1744,1420,2069,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, East/Southeast Asian",Both sexes,0.999,0.892,1.107,,2490,,83220,3,2.7,3.3,,3.2,2.9,3.5,,-0.002,-0.345,0.341,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Arab/South/West Asian",Both sexes,1.626,1.496,1.757,,4380,,82560,5.3,4.9,5.7,,5.2,4.8,5.6,,1.998,1.605,2.39,,38.517,33.542,43.491,,3.794,3.066,4.522,,0.177,0.143,0.211,,1687,1361,2013,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Latin American/Other/Multiple origins",Both sexes,1.437,1.204,1.671,,1175,,25375,4.6,3.9,5.4,,4.6,3.9,5.3,,1.395,0.666,2.124,,30.434,18.746,42.121,,0.807,0.384,1.229,,0.038,0.018,0.057,,359,172,545,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Both sexes,1,,,,16945,,531460,3.2,3,3.3,,3.2,3,3.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Both sexes,3.691,3.366,4.016,,5310,,62435,8.5,7.9,9.1,,11.8,10.9,12.7,,8.581,7.674,9.488,,72.908,70.51,75.305,,8.704,7.88,9.528,,0.405,0.367,0.444,,3871,3508,4234,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, Total non-White",Both sexes,0.755,0.617,0.894,,495,,10140,4.8,4.1,5.6,,2.4,2,2.9,,-0.78,-1.224,-0.336,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Both sexes,8.783,7.724,9.842,,1970,,6855,28.7,25.5,31.9,,28,24.8,31.2,,24.818,21.63,28.006,,88.614,87.246,89.983,,3.921,3.45,4.391,,0.183,0.159,0.206,,1744,1520,1967,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Both sexes,1.773,1.68,1.865,,18830,,331980,5.7,5.5,5.9,,5.7,5.5,5.8,,2.463,2.241,2.685,,43.584,40.629,46.54,,18.456,16.713,20.2,,0.86,0.781,0.939,,8208,7454,8962,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Black",Males,4.566,3.882,5.25,,880,,7775,11.4,9.7,13.1,,14.1,12.1,16,,10.987,9.026,12.949,,78.098,74.807,81.388,,3.071,2.475,3.667,,0.14,0.113,0.168,,691,556,825,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Males,2.414,1.638,3.19,,440,,11285,3.9,3.1,4.7,,7.4,5.1,9.8,,4.358,2.025,6.691,,58.578,44.812,72.345,,1.14,0.686,1.595,,0.052,0.031,0.073,,256,154,358,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Males,3.944,3.318,4.571,,1140,,10855,10.5,9.1,12,,12.2,10.4,14,,9.073,7.263,10.883,,74.648,70.528,78.767,,3.791,3.075,4.506,,0.173,0.141,0.206,,852,692,1013,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Males,3.8,2.409,5.191,E,220,,2255,9.9,6.8,12.9,,11.7,7.4,16,E,8.628,4.316,12.941,E,73.684,63.664,83.705,E,0.73,0.429,1.032,,0.033,0.02,0.047,,164,96,232,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, White",Males,3.172,2.014,4.329,E,280,,4625,6.1,4.4,7.7,,9.8,6.3,13.3,E,6.691,3.191,10.191,E,68.469,57.163,79.775,E,0.852,0.509,1.196,,0.039,0.023,0.055,,192,115,269,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, Black",Males,1.426,0.899,1.952,,105,E,1120,9.5,6,13,,4.4,2.8,6,,1.312,-0.302,2.926,,29.861,2.974,56.749,,0.142,-0.031,0.314,E,0.006,-0.001,0.014,E,32,-7,71,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, East/Southeast Asian",Males,0.488,0.21,0.765,,50,E,1525,3.4,1.8,5,,1.5,0.7,2.3,,-1.579,-2.445,-0.713,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, Arab/South/West Asian",Males,0.738,0.424,1.052,,90,E,2110,4.2,2.5,5.8,,2.3,1.3,3.2,,-0.808,-1.771,0.155,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Males,8.247,4.981,11.512,,120,E,450,27.1,17.7,36.5,,25.4,15.5,35.3,,22.33,12.419,32.24,,87.874,82.794,92.953,,0.479,0.265,0.694,E,0.022,0.012,0.032,E,108,60,156,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Males,9.643,7.606,11.679,,410,,1175,34.8,28.4,41.2,,29.7,23.7,35.8,,26.633,20.585,32.681,,89.63,87.448,91.812,,1.624,1.253,1.995,,0.074,0.057,0.092,,365,280,450,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Arab/South/West Asian",Males,8.168,6.361,9.975,,285,,1130,25.5,19.7,31.2,,25.2,19.5,30.8,,22.087,16.476,27.698,,87.757,85.053,90.461,,1.125,0.807,1.443,,0.051,0.037,0.066,,253,180,326,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Males,10.439,7.462,13.415,,215,,665,32.1,23.4,40.9,,32.2,23.6,40.8,,29.084,20.458,37.71,,90.42,87.656,93.185,,0.861,0.573,1.148,,0.039,0.026,0.052,,194,129,258,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, White",Males,7.823,4.92,10.725,,150,E,595,24.4,15.3,33.5,,24.1,15.3,32.9,,21.023,12.188,29.859,,87.217,82.232,92.201,,0.566,0.312,0.82,E,0.026,0.014,0.037,E,127,70,184,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Black",Males,2.126,1.838,2.413,,1760,,24500,7.2,6.4,8,,6.5,5.8,7.3,,3.468,2.652,4.285,,52.953,46.492,59.413,,4.147,3.227,5.067,,0.19,0.147,0.232,,933,725,1141,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, East/Southeast Asian",Males,1.094,0.948,1.24,,1335,,43135,3.1,2.7,3.4,,3.4,3,3.8,,0.291,-0.151,0.732,,8.616,-3.627,20.858,,0.51,-0.265,1.285,,0.023,-0.012,0.059,,115,-59,289,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Arab/South/West Asian",Males,1.598,1.442,1.754,,2150,,42520,5.1,4.7,5.5,,4.9,4.5,5.3,,1.843,1.405,2.281,,37.423,31.271,43.575,,3.579,2.726,4.433,,0.164,0.125,0.202,,805,617,993,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Latin American/Other/Multiple origins",Males,1.565,1.246,1.884,,615,,12720,4.8,3.9,5.7,,4.8,3.9,5.8,,1.741,0.778,2.703,,36.098,22.675,49.522,,0.985,0.444,1.526,,0.045,0.02,0.07,,222,100,343,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Males,1,,,,8445,,274095,3.1,2.9,3.2,,3.1,2.9,3.2,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Males,3.73,3.316,4.144,,2690,,32200,8.3,7.6,9.1,,11.5,10.4,12.6,,8.411,7.291,9.531,,73.188,70.183,76.193,,8.744,7.737,9.751,,0.4,0.353,0.447,,1967,1737,2196,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Long-term immigrant, Total non-White",Males,0.788,0.602,0.975,,255,,5315,4.8,3.7,5.9,,2.4,1.8,3,,-0.652,-1.228,-0.076,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Males,9.402,8.109,10.694,,1040,,3440,30.2,26.5,33.8,,29,25.3,32.6,,25.889,22.223,29.554,,89.363,87.919,90.808,,4.131,3.538,4.725,,0.189,0.161,0.217,,929,790,1068,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Males,1.821,1.698,1.944,,9585,,170360,5.6,5.4,5.8,,5.6,5.4,5.8,,2.531,2.257,2.805,,45.099,41.405,48.793,,19.225,17.021,21.428,,0.88,0.784,0.975,,4324,3852,4795,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Black",Females,4.66,3.97,5.351,,995,,7570,13.1,11.4,14.9,,15.4,13.3,17.5,,12.092,9.989,14.196,,78.542,75.296,81.788,,3.552,2.923,4.18,,0.169,0.14,0.198,,781,646,916,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Females,2.482,1.726,3.239,,460,,10865,4.3,3.4,5.1,,8.2,5.8,10.6,,4.897,2.445,7.348,,59.714,47.433,71.994,,1.256,0.8,1.712,,0.06,0.038,0.081,,276,177,375,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Females,3.722,3.07,4.374,,1000,,9640,10.4,8.9,11.9,,12.3,10.2,14.4,,8.993,6.92,11.067,,73.134,68.494,77.774,,3.329,2.679,3.978,,0.158,0.127,0.189,,732,588,876,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Alberta,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Females,4.114,2.23,5.997,E,165,,2155,7.7,5.7,9.7,,13.6,7.4,19.7,E,10.286,4.128,16.444,E,75.69,64.001,87.379,E,0.569,0.359,0.78,,0.027,0.017,0.037,,125,78,172,,Census 2021
